Name,Email,Financial Status,Paid at,Currency,Total,Refunded Amount,Referring Site
#1001,x@y.com,paid,2026-06-01 16:00:00 +0000,USD,153.63,,https://instagram.com/
#1001,x@y.com,paid,2026-06-01 16:00:00 +0000,USD,153.63,,https://instagram.com/
#1002,x@y.com,paid,2026-06-01 12:34:00 +0000,USD,81.66,,https://instagram.com/
#1003,x@y.com,paid,2026-06-01 17:29:00 +0000,USD,142.82,,https://l.facebook.com/
#1003,x@y.com,paid,2026-06-01 17:29:00 +0000,USD,142.82,,https://l.facebook.com/
#1004,x@y.com,paid,2026-06-01 07:30:00 +0000,USD,199.54,,https://instagram.com/
#1004,x@y.com,paid,2026-06-01 07:30:00 +0000,USD,199.54,,https://instagram.com/
#1005,x@y.com,paid,2026-06-01 15:33:00 +0000,USD,94.76,,
#1006,x@y.com,paid,2026-06-01 08:08:00 +0000,USD,92.34,,https://l.facebook.com/
#1007,x@y.com,paid,2026-06-01 09:20:00 +0000,USD,82.7,,https://l.facebook.com/
#1008,x@y.com,paid,2026-06-01 18:07:00 +0000,USD,110.27,,https://instagram.com/
#1009,x@y.com,paid,2026-06-01 00:24:00 +0000,USD,172.74,,
#1009,x@y.com,paid,2026-06-01 00:24:00 +0000,USD,172.74,,
#1010,x@y.com,paid,2026-06-01 20:34:00 +0000,USD,186.92,,https://instagram.com/
#1011,x@y.com,paid,2026-06-01 04:14:00 +0000,USD,147.91,,https://www.google.com/
#1012,x@y.com,paid,2026-06-01 06:13:00 +0000,USD,197.15,,https://l.facebook.com/
#1013,x@y.com,paid,2026-06-01 23:05:00 +0000,USD,195.16,,https://l.facebook.com/
#1014,x@y.com,paid,2026-06-01 17:50:00 +0000,USD,129.2,,
#1015,x@y.com,paid,2026-06-01 03:12:00 +0000,USD,104.49,,
#1016,x@y.com,paid,2026-06-01 16:40:00 +0000,USD,198.3,,https://l.facebook.com/
#1017,x@y.com,paid,2026-06-01 02:30:00 +0000,USD,144.37,,https://l.facebook.com/
#1018,x@y.com,paid,2026-06-01 18:30:00 +0000,USD,81.21,,https://www.google.com/
#1019,x@y.com,paid,2026-06-01 05:18:00 +0000,USD,103.02,,https://l.facebook.com/
#1020,x@y.com,paid,2026-06-01 02:48:00 +0000,USD,154.53,,https://www.google.com/
#1021,x@y.com,paid,2026-06-01 13:13:00 +0000,USD,121.14,,https://instagram.com/
#1022,x@y.com,paid,2026-06-01 05:26:00 +0000,USD,79.75,,
#1022,x@y.com,paid,2026-06-01 05:26:00 +0000,USD,79.75,,
#1023,x@y.com,paid,2026-06-01 19:10:00 +0000,USD,125.46,,
#1024,x@y.com,refunded,2026-06-01 22:56:00 +0000,USD,145.66,145.66,
#1024,x@y.com,refunded,2026-06-01 22:56:00 +0000,USD,145.66,145.66,
#1025,x@y.com,paid,2026-06-01 10:51:00 +0000,USD,153.2,,https://www.google.com/
#1026,x@y.com,paid,2026-06-01 05:52:00 +0000,USD,114.9,,
#1026,x@y.com,paid,2026-06-01 05:52:00 +0000,USD,114.9,,
#1027,x@y.com,paid,2026-06-01 11:49:00 +0000,USD,95.58,,https://instagram.com/
#1027,x@y.com,paid,2026-06-01 11:49:00 +0000,USD,95.58,,https://instagram.com/
#1028,x@y.com,paid,2026-06-01 02:51:00 +0000,USD,179.01,,
#1029,x@y.com,paid,2026-06-01 20:57:00 +0000,USD,117.82,,
#1030,x@y.com,paid,2026-06-01 10:13:00 +0000,USD,108.64,,https://www.google.com/
#1030,x@y.com,paid,2026-06-01 10:13:00 +0000,USD,108.64,,https://www.google.com/
#1031,x@y.com,paid,2026-06-01 15:41:00 +0000,USD,153.18,,https://instagram.com/
#1032,x@y.com,paid,2026-06-01 00:07:00 +0000,USD,170.57,,
#1033,x@y.com,paid,2026-06-01 01:48:00 +0000,USD,175.52,,https://instagram.com/
#1034,x@y.com,refunded,2026-06-01 08:57:00 +0000,USD,163.54,163.54,https://l.facebook.com/
#1035,x@y.com,paid,2026-06-01 18:54:00 +0000,USD,150.61,,
#1036,x@y.com,paid,2026-06-01 19:42:00 +0000,USD,162.22,,https://l.facebook.com/
#1037,x@y.com,paid,2026-06-01 05:54:00 +0000,USD,129.01,,https://instagram.com/
#1037,x@y.com,paid,2026-06-01 05:54:00 +0000,USD,129.01,,https://instagram.com/
#1038,x@y.com,paid,2026-06-01 15:26:00 +0000,USD,149.54,,https://instagram.com/
#1039,x@y.com,paid,2026-06-02 15:41:00 +0000,USD,130.61,,https://instagram.com/
#1040,x@y.com,paid,2026-06-02 09:01:00 +0000,USD,152.01,,https://www.google.com/
#1041,x@y.com,paid,2026-06-02 13:48:00 +0000,USD,179.97,,https://www.google.com/
#1041,x@y.com,paid,2026-06-02 13:48:00 +0000,USD,179.97,,https://www.google.com/
#1042,x@y.com,paid,2026-06-02 18:46:00 +0000,USD,84.97,,https://instagram.com/
#1043,x@y.com,paid,2026-06-02 15:16:00 +0000,USD,87.7,,https://instagram.com/
#1044,x@y.com,paid,2026-06-02 14:09:00 +0000,USD,84.0,,
#1045,x@y.com,paid,2026-06-02 14:07:00 +0000,USD,157.68,,https://www.google.com/
#1046,x@y.com,paid,2026-06-02 11:28:00 +0000,USD,191.67,,https://l.facebook.com/
#1047,x@y.com,paid,2026-06-02 18:43:00 +0000,USD,166.16,,https://l.facebook.com/
#1047,x@y.com,paid,2026-06-02 18:43:00 +0000,USD,166.16,,https://l.facebook.com/
#1048,x@y.com,paid,2026-06-02 04:18:00 +0000,USD,126.05,,
#1049,x@y.com,paid,2026-06-02 16:39:00 +0000,USD,109.47,,
#1050,x@y.com,paid,2026-06-02 22:37:00 +0000,USD,114.27,,
#1051,x@y.com,paid,2026-06-02 07:32:00 +0000,USD,161.57,,https://l.facebook.com/
#1052,x@y.com,refunded,2026-06-02 08:16:00 +0000,USD,194.0,194.0,https://l.facebook.com/
#1052,x@y.com,refunded,2026-06-02 08:16:00 +0000,USD,194.0,194.0,https://l.facebook.com/
#1053,x@y.com,refunded,2026-06-02 08:04:00 +0000,USD,81.55,81.55,https://l.facebook.com/
#1054,x@y.com,paid,2026-06-02 11:30:00 +0000,USD,198.5,,https://l.facebook.com/
#1054,x@y.com,paid,2026-06-02 11:30:00 +0000,USD,198.5,,https://l.facebook.com/
#1055,x@y.com,paid,2026-06-02 04:53:00 +0000,USD,124.74,,https://instagram.com/
#1056,x@y.com,paid,2026-06-02 06:28:00 +0000,USD,183.9,,
#1056,x@y.com,paid,2026-06-02 06:28:00 +0000,USD,183.9,,
#1057,x@y.com,paid,2026-06-02 04:41:00 +0000,USD,176.65,,https://l.facebook.com/
#1058,x@y.com,paid,2026-06-02 05:27:00 +0000,USD,116.4,,
#1059,x@y.com,paid,2026-06-02 17:05:00 +0000,USD,154.64,,https://l.facebook.com/
#1059,x@y.com,paid,2026-06-02 17:05:00 +0000,USD,154.64,,https://l.facebook.com/
#1060,x@y.com,paid,2026-06-02 09:52:00 +0000,USD,152.48,,https://www.google.com/
#1061,x@y.com,paid,2026-06-02 02:44:00 +0000,USD,88.04,,https://www.google.com/
